Year,el/la,intensity
1952,el,1
1953,el,1
1958,el,1
1969,el,1
1976,el,1
1977,el,1
1979,el,1
2004,el,1
2006,el,1
2014,el,1
2018,el,1
1951,el,2
1963,el,2
1968,el,2
1986,el,2
1994,el,2
2002,el,2
2009,el,2
1957,el,3
1965,el,3
1972,el,3
1987,el,3
1991,el,3
2023,el,3
1982,el,4
1997,el,4
2015,el,4
1954,la,1
1964,la,1
1971,la,1
1974,la,1
1983,la,1
1984,la,1
2000,la,1
2005,la,1
2008,la,1
2016,la,1
2017,la,1
2022,la,1
1955,la,2
1970,la,2
1995,la,2
2011,la,2
2020,la,2
2021,la,2
1973,la,3
1975,la,3
1988,la,3
1998,la,3
1999,la,3
2007,la,3
2010,la,3
